"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","21-Aug-2018","       2009.95","       2010.15","       2024.00","       2004.00","       2014.00","       2017.65","       2015.38","    1376866","          2774903727.95","      67624","     826204","         60.01"
"TCS","EQ","23-Aug-2018","       2017.65","       2022.80","       2038.00","       2020.30","       2033.90","       2035.10","       2030.81","    3046791","          6187460520.70","     147069","    2229341","         73.17"
"TCS","EQ","24-Aug-2018","       2035.10","       2035.10","       2046.00","       2031.00","       2041.60","       2043.00","       2041.86","    1570533","          3206801587.60","      89779","    1071112","         68.20"
"TCS","EQ","27-Aug-2018","       2043.00","       2043.00","       2059.00","       2035.00","       2050.05","       2050.90","       2051.79","    1532702","          3144788538.70","      95164","    1066284","         69.57"
"TCS","EQ","28-Aug-2018","       2050.90","       2055.00","       2072.00","       2052.00","       2069.95","       2069.20","       2065.50","    1987983","          4106175143.60","     108533","    1297603","         65.27"
"TCS","EQ","29-Aug-2018","       2069.20","       2072.50","       2076.60","       2045.60","       2073.25","       2072.00","       2065.10","    1525867","          3151066991.15","      88327","     896703","         58.77"
"TCS","EQ","30-Aug-2018","       2072.00","       2068.00","       2085.00","       2065.50","       2081.25","       2082.40","       2078.06","    2408020","          5003999131.15","     125517","    1793156","         74.47"
"TCS","EQ","31-Aug-2018","       2082.40","       2082.30","       2092.00","       2074.00","       2078.00","       2078.40","       2082.10","    2504554","          5214722720.85","     137612","    1422197","         56.78"
"TCS","EQ","03-Sep-2018","       2078.40","       2084.80","       2090.00","       2048.40","       2050.30","       2052.90","       2072.50","    1439711","          2983803308.90","      66713","     816070","         56.68"
"TCS","EQ","04-Sep-2018","       2052.90","       2059.80","       2104.75","       2056.95","       2100.00","       2098.90","       2093.77","    4420803","          9256152898.55","     272369","    2931637","         66.31"
"TCS","EQ","05-Sep-2018","       2098.90","       2100.00","       2107.25","       2075.05","       2077.00","       2079.25","       2086.52","    1681106","          3507659103.70","     125377","    1034014","         61.51"
"TCS","EQ","06-Sep-2018","       2079.25","       2075.00","       2081.50","       2060.30","       2074.50","       2075.30","       2070.41","    2238097","          4633767811.50","     123504","    1585975","         70.86"
